分组,场景名,总点云,数量_背景类,数量_建筑类,数量_车辆类,数量_高植被类,数量_低植被类,占比_背景类,占比_建筑类,占比_车辆类,占比_高植被类,占比_低植被类,分组占比_背景类,分组占比_建筑类,分组占比_车辆类,分组占比_高植被类,分组占比_低植被类
single_group,12JKQ17_2,23881670,5645701,7556778,29621,3033865,7615705,0.23640310748787668,0.31642586134051764,0.0012403236457081937,0.1270373889263188,0.31889331859957865,0.013122374956017029,0.04742181176749127,0.004308187621781822,0.008741598406987459,0.050184979934060604
single_group,24JKQ17_1,24583464,10517374,4066932,253690,4117842,5627626,0.4278231090622542,0.1654336427120279,0.010319538369368938,0.16750454695888262,0.22891916289746636,0.024445666743716087,0.02552162889728755,0.036897610403761875,0.011864905349257812,0.03708419612976051
single_group,25JKQ18,19207939,4517593,2594385,84145,10242308,1769508,0.23519405179285502,0.13506836938622097,0.004380740692689622,0.5332330553527893,0.09212378277544508,0.010500299120459591,0.016280806068724375,0.012238359523136674,0.029511577903655866,0.011660473124045601
single_group,26GZGD,14234288,3506278,1658801,67961,7752050,1249198,0.2463261948894107,0.11653557944029234,0.004774457282303126,0.5446039872173445,0.08775978117064935,0.008149686746789012,0.010409641355313904,0.0098844988003077,0.02233629641756872,0.008231802119917806
single_group,27DATA19_train,16557889,3590837,2865916,21760,6975298,3104078,0.21686562822108543,0.17308462449530854,0.0013141771876837682,0.4212673487544215,0.1874682213415007,0.008346228310698587,0.017984771961468436,0.003164854753383493,0.02009820934189979,0.020454848519442254
single_group,27DATA19_val,14135652,2417973,2374276,11599,6027994,3303810,0.17105493259171914,0.16796367086569478,0.0008205493457252626,0.42643904929181903,0.2337217979050418,0.005620125532600002,0.014899533843136865,0.0016870013917506955,0.017368703863794188,0.02177101641357547
single_group,29XY8B,48355268,13375600,1372616,10397,24524026,9072629,0.27661101992031145,0.028386069538483376,0.00021501276758511607,0.5071634800990039,0.18762441767461613,0.03108907794828337,0.008613715737189422,0.001512178073112508,0.07066207185043467,0.05978562776711759
single_group,32_train,57925604,36917653,2217710,40731,12755285,5994225,0.6373287536199018,0.03828548770937287,0.0007031605574626378,0.22020115664223372,0.10348144147102895,0.0858081724770984,0.013917019419504328,0.005924067047797015,0.03675232056689109,0.039499962425703784
single_group,32_train（复件）,57925604,36917653,2217710,40731,12755285,5994225,0.6373287536199018,0.03828548770937287,0.0007031605574626378,0.22020115664223372,0.10348144147102895,0.0858081724770984,0.013917019419504328,0.005924067047797015,0.03675232056689109,0.039499962425703784
single_group,32_val,27248569,17209760,19932,3496,5779765,4235616,0.6315839925392045,0.0007314879544683613,0.00012830031551381652,0.21211260672074192,0.15544361247007135,0.040000865016242206,0.00012508129154378177,0.0005084711497163921,0.016653471567377544,0.0279113101109334
