数据名,低矮植被->背景混淆,低矮植被->高植被混淆,背景->低矮植被混淆,高植被->低矮植被混淆,背景类_Recall,背景类_Precision,背景类_IoU,建筑类_Recall,建筑类_Precision,建筑类_IoU,车辆类_Recall,车辆类_Precision,车辆类_IoU,高植被类_Recall,高植被类_Precision,高植被类_IoU,低植被类_Recall,低植被类_Precision,低植被类_IoU,平均_Recall,平均_Precision,平均_IoU
12JKQ17_2,0.15401213676212308,0.022062304146496983,0.0381417648578974,0.0817940152248013,0.9133778072908766,0.7869413101541728,0.732289579880444,0.9900235258995171,0.9621739038171674,0.9529344106627212,0.8320785928873702,0.6400986884803529,0.566871363185522,0.8481590314664348,0.921121870021982,0.7907283323320434,0.8210026517571148,0.9302503494847009,0.7733938275827211,0.8809283218602626,0.8481172243916753,0.7632435027286902
24JKQ17_1,0.18173826761053097,0.017215785128577892,0.02248289354357825,0.11186174700243205,0.9635491711143773,0.8760727864351376,0.8479696980321171,0.9721087050385654,0.961228466269817,0.9354301227664567,0.9530884149943029,0.8570096869890735,0.8223220601836458,0.802043886093716,0.9668681188712148,0.7805902884791555,0.8003172207961083,0.8653060550094043,0.7116601932496958,0.8982214796074139,0.9052970227149295,0.8195944725422141
25JKQ18,0.17768893952442275,0.023530269430823512,0.04060857186559213,0.03584035941898998,0.9317052244414021,0.847798798637886,0.7981954499958698,0.9493402097221133,0.890910123467297,0.850476938971672,0.7703369184137259,0.5958706403627476,0.5059832796018126,0.9074049520869621,0.9875490617566516,0.8971412188926293,0.7925700251142809,0.7159698880552456,0.6029817621168222,0.8702714659556967,0.8076197024559656,0.7309557299157612
26GZGD,0.08216311585512609,0.02623843457962419,0.014738420627228795,0.027419585786985026,0.9381289789343303,0.9276533592714423,0.8741714303937516,0.9652200595489776,0.851521386849118,0.8261719394999739,0.783670046054673,0.8233848151742755,0.6708950053528111,0.9452037848052974,0.990009068784937,0.9362728956509564,0.8595194676904014,0.7999454638514889,0.707450730274438,0.8983484674067361,0.8785028187862522,0.8029924002343863
27DATA19_train,0.14076385967104754,0.01362208037297988,0.0431208656923151,0.07380372852887326,0.9162217611102671,0.786741010834519,0.7339421850398017,0.9879598704218481,0.9496739008302674,0.9388085588639594,0.8757812499959753,0.3872586872579003,0.36709494731499415,0.8558498862700797,0.9867046772297435,0.8460926411949984,0.8443325199946379,0.795369820743344,0.6936523917204281,0.8960290575585615,0.7811496193791548,0.7159181448268364
27DATA19_val,0.08128191391151182,0.022653845106104083,0.1850438363042025,0.1006225288213608,0.7726575110639873,0.7344236221289314,0.603920725636464,0.96387067046961,0.9106078385261804,0.8805520883193219,0.2921803603733754,0.15153141068566273,0.11084219133242569,0.8142408569086033,0.973749909236148,0.7967520785077373,0.893165163856248,0.7348223112609479,0.6754534309124866,0.7472229125343648,0.7010270183675741,0.6135041029416871
29XY8B,0.3525839092505562,0.04097202696153407,0.05868955411345989,0.07871068967224192,0.932290289781386,0.6666471714675786,0.635860841793922,0.8941466513576344,0.7947121069078029,0.7263735652387574,0.7636818312901444,0.10627049454579901,0.10288705748185496,0.7888608093956482,0.9765855724517212,0.7742175871542085,0.6050536178653331,0.6677440485204925,0.46504578891816206,0.7968066399380291,0.6423918787786789,0.5408769681173811
32_train,0.811919972973974,0.029182087759468005,0.0014360338670499954,0.010921590540705198,0.9853101983487386,0.8131097050324845,0.8033708440882777,0.8035667422701434,0.6655651584793411,0.572431406799411,0.8758194004545043,0.0787198453539825,0.07785091069392612,0.673791059941031,0.9640773810792348,0.657289016836187,0.15876030679528783,0.8317222899073375,0.15381945914876766,0.6994495415619411,0.670638875970476,0.4529523275133139
32_val,0.9593402706949602,0.002572471158858533,0.001029822612285116,0.005569430591036045,0.9943171200528015,0.7379916710936752,0.734891979166498,0.578516957653128,0.03558028165536232,0.03468126381640234,0.9327803203394514,0.004904681331076533,0.004902948384477019,0.49229389084157416,0.9942820820866646,0.4909041001164831,0.0379621287671017,0.7631154309792967,0.03751998878084742,0.6071740835308114,0.5071748294292151,0.2605800560529416
33ZJ,0.5093570333166583,0.0029601597223620113,0.0035197077517544945,0.02042210205768053,0.9630207690882775,0.9153305646528866,0.8842509434197113,0.9810488514097934,0.9499990568553012,0.9328794571026894,0.8883762130143874,0.89563240084641,0.805037127911994,0.8410848581357832,0.9841712173243466,0.829858963529666,0.4749697276319446,0.8699449953826844,0.44347957077627176,0.8297000838560372,0.9230156470123256,0.7791012125480664
34PTY1,0.2210868437778836,0.01938884534546641,0.006924817589229354,0.04732784374618595,0.9880300408581221,0.8876421010518403,0.8781981671741541,0.9736695274755512,0.9714605421431249,0.9465928512431284,0.9601756761208596,0.9499183273429708,0.9139112396269027,0.908264971645264,0.9862960848809641,0.8969457621349792,0.7578046707141812,0.8691539045526707,0.680204791297273,0.9175889773627957,0.9328941919943142,0.8631705622952875
35SBL_train,0.22542417853979083,0.09869415306081797,0.01740897579195243,0.03593639293784075,0.9702484534050858,0.8169347996605135,0.7969704035589326,0.0,0.0,0.0,0.95170154887608,0.5755968169741946,0.5592601050449898,0.9470705494939549,0.9809036218795562,0.9299248637738623,0.6752549847571304,0.7408483702274008,0.546231406913067,0.7088551073064502,0.622856721748333,0.5664773558581703
35SBL_val,0.1312185258441,0.11260657187382211,0.00921231519385467,0.030266711267652992,0.981270228849295,0.7597284659749247,0.7488690090850928,0.9511142203868108,0.8319083169438486,0.7977955500707202,0.8839734465329537,0.8454430455986441,0.7609959226156404,0.9506405882462218,0.979097013228085,0.9317306822442692,0.7537944744942998,0.8107881692810932,0.6410300245376856,0.9041585917019163,0.8453930022053189,0.7760842377106816
36LT,0.2951444878155347,0.0035879858915344133,0.005532128500369998,0.07760879121829416,0.9837196923122893,0.918308308857608,0.9045610022952072,0.979640621532379,0.9564986502023937,0.9378555537456824,0.8901170579464985,0.8274972596026646,0.7508009395430303,0.772456446473419,0.989834026908719,0.7663764583063574,0.6968328996835117,0.7793378998258751,0.5820028155551957,0.8645533435896194,0.8942952290794521,0.7883193538890947
37XCNN_train,0.5754261420251104,0.04942020905613965,0.012932194305823503,0.05281179552581791,0.968533978005498,0.7405361841505707,0.7231383706516067,0.9314469364013324,0.8512254164303802,0.8010410871115228,0.800066896090096,0.6760538346554984,0.578346378184212,0.8816638727679009,0.9595760177867118,0.8500900135243622,0.37277541408847853,0.7650134535151565,0.33447647333875824,0.7908974194706612,0.7984809813076635,0.6574184645620924
37XCNN_val,0.5731711024104538,0.039321903313682065,0.013337721823330172,0.07024524345823002,0.9762942987245412,0.8186463540763317,0.80269062775986,0.9178190270653555,0.8961422336308544,0.829576941924868,0.4573676912818372,0.2536197152155317,0.19495701565843188,0.8107697685656853,0.9660327788499239,0.788297050458103,0.3838652798329519,0.6642519445734559,0.3214882599544777,0.7092232130940743,0.7197386052692195,0.5874019791511481
38HZ,0.44188357659064487,0.04857908034152713,0.005150240140392312,0.07463447766539538,0.9815511735713163,0.9084449889441979,0.8931939232548788,0.9670755612090347,0.9739942092025905,0.9427331892101012,0.8971185373354675,0.6153559725936619,0.5747933999268555,0.7389627713198704,0.9697524369262074,0.7223141530644102,0.5077976923501456,0.6685875541596742,0.40568303291522995,0.818501147157167,0.8272270323652663,0.707743539674295
39PTY2,0.8225646222775066,0.015022032334626111,0.0025863717188844403,0.029781239917821785,0.9904936134571679,0.7016341239799142,0.6969409089810625,0.7906232938004055,0.9010357028453658,0.7274532418579814,0.8751186056949459,0.5953815488452792,0.548757828809448,0.6559565432352907,0.9373704038680778,0.6284148958656044,0.1623212423741581,0.8744469926020845,0.15862433304986692,0.6949026597123936,0.8019737544281442,0.5520382417127926
UrbanBIS_Yingrenshi,0.3860527601356068,0.03862359550550005,0.0029389808750967614,0.0013540682060282474,0.9280727982316485,0.8654902920057382,0.8110851706637192,0.9844551683865771,0.9835906674424629,0.9685479736593687,0.8107271425807603,0.8751223143709516,0.7266607347739886,0.8760683760682665,0.9713134752086308,0.8539730361507589,0.5653700537354501,0.7701297620996085,0.4837378196909957,0.8329387078005406,0.8931293022254783,0.7688009469877661
terrain16,0.32043387595104406,0.035559485986900986,0.002609167443930249,0.027975242856568477,0.9808778699798799,0.9628467916759931,0.9451065596551068,0.8476315435332744,0.6349194349100429,0.5698782209030427,0.7309888843948117,0.8743897969648359,0.6615224226557489,0.9282059301446759,0.9837160704738535,0.9141598249127558,0.6429203105037269,0.7862817619799005,0.5472820379369012,0.8261249077112737,0.8484307712009251,0.7275898132127112
terrain18,0.06856087889950939,0.0001678356888604881,0.025629652088791262,0.2569964222214524,0.9670860915995293,0.9449230572291559,0.9154815288586152,0.16377314814498894,0.1923861318787132,0.09705075445705245,0.8263591123882621,0.8745611129484115,0.7387934411530057,0.590585833753385,0.9995542099281172,0.5904303175258493,0.9312572991035257,0.7820564018835187,0.7393730428405516,0.6958122969979381,0.7586961827735833,0.6162258169670148
terrain3,0.26021762999912573,0.010072921266513195,0.0070209097626421305,0.02935329771515813,0.9816543731607928,0.8750677936852926,0.8609874750242987,0.943151864477848,0.9086961122512079,0.8615100624005853,0.910872894330744,0.7502102135748915,0.6989059195218975,0.8877420711095171,0.9875829895213363,0.8779427398128865,0.7295542971033295,0.8731132766050096,0.6596190083100781,0.8905951000364464,0.8789340771275477,0.7917930410139492
terrain9,0.38726779377919585,0.00020872469213064344,0.000152906326767525,0.5123898105052239,0.9986083065244168,0.9937716603985318,0.9923972369018427,0.9645469565154472,0.9801732575835965,0.9460881551958625,0.9097178847524209,0.9661152265005198,0.8815892484339185,0.0615672936762576,0.9672846236676899,0.061439357206750436,0.6125234815265862,0.7699128974688584,0.517748764995558,0.7093927845990258,0.9354515331238392,0.6798525525467864
汇总统计,0.3902969245711758,0.03995161609198477,0.017465324137793437,0.050153297018729705,0.9654514225128795,0.8086902519368333,0.7859458471916613,0.9736684896142958,0.9481668422739997,0.9244619247609664,0.8556708390439156,0.7276790122064545,0.6481276282855537,0.8571536209668692,0.975780862526915,0.8392977475780632,0.5654837244532347,0.766391424987193,0.48234292996111916,0.8434856193182391,0.8453416787862793,0.7360352155554727
