分组,场景名,点云数量,background,building,car,vegetation,grass,数据占比,drt_background,drt_building,drt_car,drt_vegetation,drt_grass,分组占比-总点云,grt_background,grt_building,grt_car,grt_vegetation,grt_grass,平均召回率,平均精确率,平均iou,background_recall,background_precision,background_iou,building_recall,building_precision,building_iou,car_recall,car_precision,car_iou,vegetation_recall,vegetation_precision,vegetation_iou,grass_recall,grass_precision,grass_iou,grass2background,grass2vegetation,background2grass,vegetation2grass,优先级评分,grass_混淆程度评分
train,26GZGD,14234288.0,3506278.0,1658801.0,67961.0,7752050.0,1249198.0,1.0,0.2463261948894107,0.11653557944029234,0.004774457282303126,0.5446039872173445,0.08775978117064935,0.024214079431698853,0.01665077599737138,0.014159377198103703,0.013583370808974166,0.041085306962926706,0.018802721967790186,0.9185350259027668,0.8944154025593045,0.8311960140064383,0.9540946268378904,0.9261696303096425,0.8866585404058601,0.9645647669611386,0.8938450081924908,0.8654268147896871,0.8977943232134639,0.7849304671107703,0.7205446450705363,0.9671246960481297,0.9854086629803742,0.9534704283215684,0.8090967164532117,0.8817232442032447,0.7298796414445389,0.10060935095957567,0.06619687191301939,0.008278008760286549,0.01322824285189079,0.0050789979997581305,0.0018917296534527262
train,27DATA19_train,16557889.0,3590837.0,2865916.0,21760.0,6975298.0,3104078.0,1.0,0.21686562822108543,0.17308462449530854,0.0013141771876837682,0.4212673487544215,0.1874682213415007,0.02816677865919621,0.01705233370830067,0.024463203037664295,0.004349173037525608,0.036968577277995976,0.04672206935996874,0.8872870696992123,0.7968513135032752,0.7167344540989242,0.9395486344826863,0.7438975881405429,0.7099187408610412,0.9897861626090579,0.942604246936785,0.9335239009807037,0.9109374999958136,0.43134438786518836,0.41388958489849265,0.9329065224166634,0.9789005320898752,0.9145173154375116,0.6632565289918403,0.8875098124839848,0.611822728316872,0.2958498465566909,0.03850354275891263,0.011714538977959734,0.03112039084208302,0.018136445411542537,0.013822717050957821
train,29XY8B,48355268.0,13375600.0,1372616.0,10397.0,24524026.0,9072629.0,1.0,0.27661101992031145,0.028386069538483376,0.00021501276758511607,0.5071634800990039,0.18762441767461613,0.08225759520202808,0.06351867120360696,0.011716527595626186,0.002078049267975816,0.12997557241978516,0.13655971319511423,0.7872700391190575,0.6954643444699408,0.5548239642242143,0.9773252788659874,0.6218076809776502,0.6129647867355906,0.923376967775334,0.8653861779041699,0.8074056661767349,0.8351447532861869,0.20711781122484765,0.19898251483786927,0.8792993858349323,0.9694402776010069,0.8555841288618963,0.3212038098328464,0.8135697746420294,0.2991827245089807,0.6148168298295896,0.0601868543285524,0.005904333263554532,0.023950675961605977,0.09570340614323496,0.08395920994905812
train,32_train,57925604.0,36917653.0,2217710.0,40731.0,12755285.0,5994225.0,1.0,0.6373287536199018,0.03828548770937287,0.0007031605574626378,0.22020115664223372,0.10348144147102895,0.09853778259826786,0.17531626712191262,0.018930174509182576,0.008140908409533803,0.06760209230134152,0.09022408464260841,0.8495925477533497,0.7645949532116628,0.6398020759369327,0.9900551912116381,0.890697242861696,0.882799027239194,0.974011029395143,0.9081932198971209,0.8867058610070134,0.9608406373500261,0.13820282649070967,0.13742875904663102,0.8668197535374484,0.9890719792490876,0.8585967279536574,0.4562361272724922,0.8968094975597001,0.4334800044381678,0.5306465806672256,0.013073416496711418,0.004631632460492545,0.011264820817410195,0.051113748031300886,0.04787710200943049
train,33ZJ,23091305.0,9955372.0,9497208.0,378190.0,2120056.0,1140479.0,1.0,0.4311307654547892,0.4112893576175101,0.016378026274392027,0.09181187464285799,0.049389976010450684,0.039280833256400666,0.04727653344729172,0.08106731934743713,0.0755888672362964,0.011236144186195205,0.017166301536748686,0.8439738014479881,0.9320830017501354,0.7899207107774125,0.9671750086284975,0.9175293550041712,0.8898202927651809,0.980217765052624,0.95576375110084,0.9376771616822416,0.9340886855810746,0.8579488188304983,0.8089745351285131,0.8738721996022334,0.9824671743418439,0.8604535376137833,0.4645153483755103,0.9467059094733231,0.45267802669734375,0.5096551536678887,0.010389494238824213,0.0015160658988935822,0.006747463274555012,0.00939549403140171,0.008748894047620966
train,34PTY1,6130680.0,2591404.0,356659.0,90849.0,2065972.0,1025796.0,1.0,0.42269438300482165,0.05817609139606047,0.01481874767562489,0.3369890452608846,0.16732173266260839,0.010428956649628526,0.01230617980738897,0.003044409372853325,0.01815799730175386,0.01094950287947209,0.015440111962772358,0.9028507522299684,0.9440933943547101,0.8571695775004062,0.9932773893996847,0.8562586969545778,0.8513250528691282,0.9701143108680924,0.9795678010964989,0.9508733744459786,0.9792512850983729,0.9759426045164102,0.9561703316771392,0.9472117724731532,0.9849240034687282,0.9336746621779141,0.6243990033105389,0.9237738657373358,0.5938044663318717,0.34997894318168526,0.02464622595525816,0.0025055915634922227,0.022328472989953396,0.00627170451861397,0.005403714067337966
train,35SBL_train,69303339.0,11991343.0,0.0,18013.0,48961230.0,8332753.0,1.0,0.17302691577385615,0.0,0.00025991532673483455,0.7064772160544819,0.12023595284492714,0.11789255320869953,0.05694504719838168,0.0,0.003600259831109779,0.25949099448951646,0.12542322184735294,0.7069509659654046,0.6855075654959943,0.6184907581858331,0.9757532579961979,0.7872484052802668,0.7721433231393523,0.0,0.0,0.0,0.9697440737191486,0.8516821062854623,0.8296366658711487,0.9598663473119426,0.9831593287889864,0.9443398119226802,0.6293911507997342,0.805447987125256,0.5463339899959847,0.27864104456234334,0.09148537104123931,0.012572653455080053,0.022793892228606186,0.05690025261733705,0.03494805754792094
train,36LT,11659863.0,5868808.0,2838790.0,199303.0,1849391.0,903571.0,1.0,0.5033342158479907,0.24346684004777758,0.017093082483044614,0.15861172639850057,0.07749413522268658,0.01983470116978991,0.027870068311634483,0.024231657924130026,0.039834707440163895,0.009801639170216134,0.013600401450497157,0.8506775500932193,0.912502120986443,0.7898915661222714,0.9904046954679555,0.8962392304717454,0.8885241711648186,0.9802771603394058,0.9800945226654356,0.9611416125676107,0.9547322418624131,0.853411970488259,0.8202226848914723,0.8567312158434395,0.9837269757816309,0.8447590932186086,0.47124243695288237,0.8490379055251442,0.43481026876884704,0.5087414270710326,0.016023090603837442,0.0017639016304503402,0.03489743380388463,0.00768680724044227,0.006919087642664866
train,37XCNN_train,101721701.0,53733183.0,3929219.0,290002.0,34500213.0,9269084.0,1.0,0.5282371654402437,0.0386271460403518,0.002850935416426039,0.3391627613462736,0.09112199175670489,0.17303972969645695,0.2551706378555163,0.0335394624882405,0.057962724229250986,0.18284864537655904,0.13951672140692872,0.8410449985595072,0.8902376923092424,0.7627445399393128,0.9857131672248023,0.8789869202054603,0.8679295389200519,0.9633464054815737,0.8873345917115613,0.8583552465084612,0.9456279611861484,0.8706338774911357,0.8291277399846322,0.9146586428321446,0.9698196479898319,0.8893445474760164,0.3958788160728676,0.8444134241482226,0.3689656268074023,0.5230965648817079,0.07857313624517806,0.0019199495403054757,0.01659189756306722,0.08803984684290754,0.07298071771152265
train,UrbanBIS_Yingrenshi,9708600.0,1509707.0,6983543.0,382786.0,799812.0,32752.0,1.0,0.15550202912881364,0.7193151432750345,0.03942751787075376,0.08238180582164267,0.0033735039037554333,0.016515389569930827,0.007169366798258311,0.059610899388279084,0.07650747014440613,0.004238946024939511,0.0004929776943999784,0.746891944195823,0.9307901523582427,0.6911583763183579,0.9300705368657012,0.8658466574046648,0.8129247329009257,0.9853144743291338,0.9834769532762315,0.9692692700588723,0.8801863182036751,0.8241655557048412,0.7410308180912796,0.8405737848393322,0.9912142836079098,0.8343574042748083,0.09831460674127285,0.9892473117975654,0.09820965626590353,0.8827247191011236,0.0134342940889106,5.2990414696361615e-06,3.3757933114281856e-05,0.0004445625244861989,0.0004351635968123405
